"","id","title","author","year","total_weeks","first_week","debut_rank","best_rank"
"393",1350,"DEADLY ASSETS","W. E. B. Griffin and William E. Butterworth IV",2015,1,2015-08-23,6,13
"394",1351,"DEADLY DECISIONS","Kathy Reichs",2000,4,2000-08-13,5,12
"395",1352,"DEADLY EMBRACE","Jackie Collins",2002,1,2002-06-30,10,13
"396",1353,"DEADLY HEAT","Richard Castle",2013,2,2013-10-06,14,8
"397",1354,"DEADLY STAKES","J. A. Jance",2013,1,2013-02-24,9,12
"398",1355,"DEAR AND GLORIOUS PHYSICIAN","Taylor Caldwell",1959,64,1959-04-05,8,3
"399",1356,"DEAR EDWARD","Ann Napolitano",2020,8,2020-01-26,14,2
"400",1357,"DEAR JOHN","Nicholas Sparks",2006,11,2006-11-26,5,1
"401",1358,"DEAR LIFE","Alice Munro",2012,1,2012-12-02,14,15
"402",1359,"DEAR MILI","Wilhelm Grimm",1988,10,1988-11-20,14,5
"403",136,"A LEGACY","Sybille Bedford",1957,16,1957-03-03,15,8
"404",1360,"DEARLY BELOVED","Anne Morrow Lindbergh",1962,32,1962-06-17,13,2
"405",1361,"DEATH AND HONOR","W. E. B. Griffin and William E. Butterworth IV",2008,2,2008-06-22,7,9
"406",1362,"DEATH ANGEL","Linda Fairstein",2013,1,2013-08-18,2,12
"407",1363,"DEATH ANGEL","Linda Howard",2008,2,2008-07-20,9,9
"408",1364,"DEATH BEAM","Robert Moss",1981,1,1981-12-06,6,15
"409",1365,"DEATH COMES TO PEMBERLEY","P. D. James",2011,13,2011-12-25,1,3
"410",1366,"DEATH DANCE","Linda Fairstein",2006,3,2006-02-05,1,4
"411",1367,"DEATH ECHO","Elizabeth Lowell",2010,1,2010-06-27,16,15
"412",1368,"DEATH IN HER HANDS","Ottessa Moshfegh",2020,1,2020-07-12,10,15
"413",1369,"DEATH IN HOLY ORDERS","P. D. James",2001,10,2001-04-29,2,7
"414",137,"A LEGACY OF SPIES","John le Carré",2017,6,2017-09-24,7,1
"415",1370,"DEATH IN PARADISE","Robert B. Parker",2001,3,2001-10-21,5,7
"416",1371,"DEATH IN THE AIR","Agatha Christie",1935,1,1935-04-01,5,5
"417",1372,"DEATH OF KINGS","Bernard Cornwell",2012,3,2012-02-05,13,2
